frame,timestamp,gesture_id,gesture,nose_x,nose_y,nose_z,nose_vis,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis
0,1772099458.0464509,0,0,0.14780786633491516,-0.5807694792747498,-0.25574687123298645,0.9999297857284546,0.15334221720695496,-0.4442395269870758,-0.036259111016988754,0.9997493624687195,-0.1234203353524208,-0.40598154067993164,-0.20552507042884827,0.9996309280395508,0.24040164053440094,-0.24618282914161682,0.01485620066523552,0.3625565469264984,-0.24430204927921295,-0.18852196633815765,-0.19707131385803223,0.46066638827323914,0.28376826643943787,-0.06889135390520096,-0.048098817467689514,0.040939319878816605,-0.2158951312303543,-0.0484686978161335,-0.21587473154067993,0.09957852214574814,0.13224385678768158,-4.3340492993593216e-05,0.03721527010202408,0.0027838237583637238,-0.13031244277954102,-0.0227257888764143,-0.031434692442417145,0.0025948539841920137
1,1772099458.1286702,0,0,0.1471220850944519,-0.5813564658164978,-0.25407442450523376,0.9999168515205383,0.15085472166538239,-0.45232874155044556,-0.021076679229736328,0.9997265338897705,-0.12267039716243744,-0.41156378388404846,-0.20684881508350372,0.9996338486671448,0.2360040545463562,-0.2568973898887634,0.0446058064699173,0.3502170443534851,-0.2377241849899292,-0.19026392698287964,-0.22242450714111328,0.48153552412986755,0.28944066166877747,-0.07599884271621704,-0.019453953951597214,0.042311765253543854,-0.22231796383857727,-0.04814320430159569,-0.25093281269073486,0.10545647889375687,0.13043448328971863,0.0018651926657184958,0.03960180655121803,0.002689174609258771,-0.12912720441818237,-0.02374960109591484,-0.03428378701210022,0.0024927412159740925
2,1772099458.1727555,0,0,0.1471972018480301,-0.5826448202133179,-0.2520260810852051,0.9998602867126465,0.15028837323188782,-0.45409345626831055,-0.018672067672014236,0.9996868968009949,-0.12269964814186096,-0.4130493700504303,-0.20774169266223907,0.9996075630187988,0.2343306541442871,-0.25830569863319397,0.043666861951351166,0.3435577154159546,-0.23249614238739014,-0.1900055706501007,-0.22639641165733337,0.4915006160736084,0.2889438271522522,-0.07560789585113525,-0.020586896687746048,0.0429631806910038,-0.22237688302993774,-0.048041392117738724,-0.2504316568374634,0.10747461020946503,0.1287771761417389,0.0038744022604078054,0.03961080685257912,0.002557842992246151,-0.12787851691246033,-0.02498340792953968,-0.034378550946712494,0.0023574416991323233
3,1772099458.2216697,0,0,0.1472863256931305,-0.5836527943611145,-0.24776053428649902,0.999832808971405,0.14998236298561096,-0.4555683434009552,-0.014249526895582676,0.9996568560600281,-0.12240572273731232,-0.4140089154243469,-0.2077004462480545,0.9995879530906677,0.23360340297222137,-0.25943148136138916,0.04619290679693222,0.3355375826358795,-0.22798828780651093,-0.18984168767929077,-0.22693902254104614,0.49940577149391174,0.288877934217453,-0.07542987912893295,-0.01752355694770813,0.043878842145204544,-0.22241978347301483,-0.04771457239985466,-0.25068846344947815,0.10896700620651245,0.12798787653446198,0.0050664739683270454,0.03978142514824867,0.0024397552479058504,-0.1273048222064972,-0.025801723822951317,-0.03467664122581482,0.00223695021122694
4,1772099458.2643502,0,0,0.1476672738790512,-0.5838944315910339,-0.2433478981256485,0.9997882843017578,0.1505964994430542,-0.4555535614490509,-0.011721917428076267,0.9996150135993958,-0.12206148356199265,-0.416276752948761,-0.20582450926303864,0.999565601348877,0.2336653769016266,-0.25926533341407776,0.04503541439771652,0.32873430848121643,-0.2259206920862198,-0.18985265493392944,-0.2253420203924179,0.5055915117263794,0.2887938320636749,-0.07080166041851044,-0.01911495067179203,0.044542886316776276,-0.2223297506570816,-0.047682370990514755,-0.24919576942920685,0.10906092077493668,0.12746241688728333,0.006941583007574081,0.03979768604040146,0.0023212458472698927,-0.1269422173500061,-0.02717914804816246,-0.03474341332912445,0.0021240017376840115
5,1772099458.307303,0,0,0.14807765185832977,-0.584256649017334,-0.24282287061214447,0.9997619390487671,0.15106549859046936,-0.45580482482910156,-0.009804659523069859,0.9995833039283752,-0.12195520848035812,-0.418745219707489,-0.20471064746379852,0.9995514750480652,0.23368042707443237,-0.2589563727378845,0.04497954249382019,0.3212544023990631,-0.22629226744174957,-0.19029513001441956,-0.22493450343608856,0.5157505869865417,0.2896471917629242,-0.06830698251724243,-0.019679442048072815,0.04526476189494133,-0.22286789119243622,-0.04755181446671486,-0.2515190839767456,0.11005307734012604,0.12701435387134552,0.008254491724073887,0.04002799093723297,0.0022132080048322678,-0.1266055703163147,-0.0282936729490757,-0.035092588514089584,0.0020168093033134937
6,1772099458.3520136,0,0,0.14805831015110016,-0.5844066143035889,-0.24157406389713287,0.9997363090515137,0.1507169008255005,-0.4564785361289978,-0.008307071402668953,0.9995436072349548,-0.12159402668476105,-0.41956090927124023,-0.20453549921512604,0.9995408058166504,0.23278500139713287,-0.25923222303390503,0.04743495583534241,0.31350138783454895,-0.22583414614200592,-0.19045019149780273,-0.22592449188232422,0.527285635471344,0.28959304094314575,-0.06857552379369736,-0.020758027210831642,0.04560244083404541,-0.22281226515769958,-0.04749486967921257,-0.25359877943992615,0.11323770880699158,0.1266644150018692,0.008396800607442856,0.04018763080239296,0.0021315226331353188,-0.12633703649044037,-0.02834460139274597,-0.03529281169176102,0.0019358713179826736
7,1772099458.4008274,0,0,0.14753898978233337,-0.5846840143203735,-0.24388748407363892,0.9997255206108093,0.15105508267879486,-0.4574800133705139,-0.008531465195119381,0.9995249509811401,-0.12103334814310074,-0.42180415987968445,-0.20408856868743896,0.9995408058166504,0.23261404037475586,-0.26034361124038696,0.05010194331407547,0.3096562623977661,-0.22443684935569763,-0.19193141162395477,-0.22537627816200256,0.5411520600318909,0.29128676652908325,-0.06871233880519867,-0.0213045384734869,0.04667914658784866,-0.22233065962791443,-0.04738232120871544,-0.25510427355766296,0.11666343361139297,0.1264120638370514,0.008652519434690475,0.04020296409726143,0.0020915113855153322,-0.12613150477409363,-0.028509940952062607,-0.03531990200281143,0.0018786368891596794
8,1772099458.4586222,0,0,0.14651452004909515,-0.5847687721252441,-0.2448897659778595,0.9997230768203735,0.15209904313087463,-0.45749399065971375,-0.008382278494536877,0.9995086789131165,-0.11992809176445007,-0.42282745242118835,-0.20308052003383636,0.9995455741882324,0.23227453231811523,-0.2601959705352783,0.051635049283504486,0.30423325300216675,-0.22392459213733673,-0.19263917207717896,-0.22489124536514282,0.5509327054023743,0.2917328178882599,-0.06698976457118988,-0.01995134726166725,0.04692838340997696,-0.22228330373764038,-0.04705570265650749,-0.2542250156402588,0.11722036451101303,0.1262766569852829,0.008972389623522758,0.040262069553136826,0.0021001878194510937,-0.12602286040782928,-0.028668120503425598,-0.03539744392037392,0.0018715497571974993
9,1772099458.5030482,0,0,0.14552009105682373,-0.5847431421279907,-0.2472493201494217,0.9997254014015198,0.15277640521526337,-0.4574522078037262,-0.008694823831319809,0.9994955062866211,-0.11915870755910873,-0.4239944815635681,-0.20272667706012726,0.9995558857917786,0.23135703802108765,-0.26002243161201477,0.052687764167785645,0.30005210638046265,-0.22392411530017853,-0.19522900879383087,-0.22465640306472778,0.5646847486495972,0.2914474904537201,-0.0665287896990776,-0.01720161736011505,0.04759413003921509,-0.22167810797691345,-0.04683484882116318,-0.25591766834259033,0.12037524580955505,0.12582211196422577,0.009050858207046986,0.04037575051188469,0.0021612492855638266,-0.1255890429019928,-0.02866978384554386,-0.035566821694374084,0.0019119813805446029
