timestamp,l_shoulder_pitch,l_shoulder_roll,l_arm_yaw,l_elbow_pitch,l_wrist_pitch,r_shoulder_pitch,r_shoulder_roll,r_arm_yaw,r_elbow_pitch,r_wrist_pitch
1772016136.7593071,9.962877623326076,26.71554103492448,44.63219190765009,-50.62282557871134,42.0,-21.92504537107872,-41.748758360424034,-12.024974497638127,-25.761266860284774,42.0
1772016136.8590043,11.741439743265195,26.413000638144133,42.80029390604841,-50.9509993150438,42.0,-24.803501061884514,-42.84761072848914,-30.768730873228595,-26.661549084364836,42.0
1772016136.9264328,12.471167955304036,26.31663364926675,42.040139597768345,-51.029544870809865,42.0,-26.106490532764997,-43.48835304501921,-42.01498469858287,-27.05412230775452,42.0
1772016136.9841657,14.581878980734515,25.77550283068003,39.56228557194121,-51.38408298462382,42.0,-30.2963742155373,-45.24443580401103,-75.58615094957943,-28.439729973087104,42.0
1772016137.0467002,14.873845007247388,25.423642953038183,39.06217721055755,-51.295461645615475,42.0,-31.59640637679822,-46.060969781800544,-85.70381456611344,-29.02626639909201,42.0
1772016137.1104164,13.5535551271524,25.696777175351137,40.408693969644105,-50.776937591470094,42.0,-30.12802161113403,-46.197621748725474,-80.85583125498283,-28.50659160328594,42.0
1772016137.1711442,11.988787261020775,24.613168610753867,40.73024860378524,-50.46999023701535,42.0,-30.629482079365967,-46.5173652899617,-86.66324157558432,-29.45279387483477,42.0
1772016137.233339,10.762316373362957,23.361055954858386,40.19384276342333,-50.05027862673521,42.0,-31.62204636823302,-46.42266421199696,-87.0,-31.19685026255636,42.0
1772016137.2957282,10.612590294346482,22.745634807381986,38.92808291117541,-48.73908332960252,42.0,-32.33046660623336,-45.62650935583264,-87.0,-33.53262503171127,42.0
1772016137.3566916,12.093967686681426,22.887522634692182,36.900999147337814,-46.145523751701845,42.0,-33.03852324272227,-44.25138681868064,-86.0153079571325,-36.53133044691737,42.0
