timestamp,l_shoulder_flexion,l_shoulder_abduction,l_shoulder_internal_rot,l_elbow_flexion,l_wrist_flexion,r_shoulder_flexion,r_shoulder_abduction,r_shoulder_internal_rot,r_elbow_flexion,r_wrist_flexion
1772016136.7593071,-0.06601816693487422,28.402431268284765,52.79796409877982,56.84492654598434,79.99999999999996,11.014323836727016,37.41720795376638,89.99999999999994,25.03112180088265,79.99999999999996
1772016136.8590043,-7.019304752304279,26.37246799896306,43.23079041070354,59.05919244118625,79.99999999999997,28.955185527673642,42.434695401014146,-36.07492349291438,30.76332962397992,79.99999999999997
1772016136.9264328,-10.906450494347874,25.371723837525618,37.8678212134669,60.263314026744865,79.99999999999997,38.96065397148272,45.394371726491585,-104.74503235096574,33.85475724892845,79.99999999999997
1772016136.9841657,-11.384750735388367,25.5053794478031,37.30459990124338,60.24520380788777,79.99999999999996,40.126641761162276,46.14416783268445,-110.16635520201137,34.06037907766182,79.99999999999996
1772016137.0467002,-10.260053868972934,25.931165693757208,38.99952236464809,59.55872342889397,79.99999999999996,37.58213809954432,46.05132231113949,-90.46130624934115,33.20432163352336,79.99999999999996
1772016137.1104164,-9.035703418101601,25.696777175351137,40.408693969644105,58.90124760610531,79.99999999999997,36.153625933360836,46.197621748725474,-80.85583125498283,33.06764625981169,79.99999999999997
1772016137.1711442,-7.992524840680517,24.613168610753867,40.730248603785256,58.545188674937805,79.99999999999997,36.755378495239164,46.51736528996171,-86.66324157558432,34.165240894808335,79.99999999999997
1772016137.233339,-7.1748775822419715,23.361055954858386,40.19384276342334,58.05832320701285,79.99999999999996,37.94645564187962,46.42266421199695,-94.1832149087833,36.18834630456538,79.99999999999996
1772016137.2957282,-7.0750601962309885,22.745634807381986,38.92808291117542,56.53733666233892,79.99999999999996,38.79655992748003,45.62650935583264,-93.01523145035532,38.89784503678507,79.99999999999996
1772016137.3566916,-8.062645124454283,22.887522634692182,36.900999147337814,53.52880755197414,79.99999999999997,39.646227891266726,44.25138681868064,-86.0153079571325,42.37634331842415,79.99999999999997
1772016137.4173257,-9.74572784505102,23.21856507906487,34.41515125977835,49.80212841273781,79.99999999999997,41.08129562059883,42.53968200546141,-84.50262093950033,46.62387388661605,79.99999999999997
1772016137.4796753,-11.293451918778315,23.18073563575939,32.10288271756861,46.73983649104351,79.99999999999996,43.06177782835477,40.71038647446529,-94.72241060618639,51.173266628594796,79.99999999999996
1772016137.5456185,-12.255975173716141,22.740896972601803,30.35597502105527,44.848882063511134,79.99999999999996,45.0579307381576,38.94578880019779,-105.06680238829432,55.301338040979054,79.99999999999996
1772016137.6066856,-12.88157904816323,22.23948842219795,28.99320948337849,43.3631970448111,79.99999999999997,46.62607876451731,37.32601131683312,-90.06243339374363,58.59040673568677,79.99999999999997
1772016137.6684046,-13.650242136875734,21.948549617188363,27.661307622076578,41.43779846346512,79.99999999999997,47.670769836613275,35.83429926053353,-36.28678271408707,61.019704864882236,79.99999999999997
1772016137.7305906,-14.597755185173934,21.8739367673269,26.466625238834947,39.220372174794306,79.99999999999996,48.33164631805415,34.540002593079,36.369245838680044,62.43039205211433,79.99999999999996
1772016137.7937124,-15.163081073037066,21.866787094831547,25.996375764903153,37.50292206250215,79.99999999999996,48.8460860458384,33.6995220346019,89.7354695648437,62.26993405542919,79.99999999999996
1772016137.8554654,-14.725716615194463,21.790785955593606,26.666470170682594,36.69380801182001,79.99999999999997,49.47745830546714,33.527521414437395,104.79379639654945,60.25236325564118,79.99999999999997
1772016137.9165635,-13.271255975841749,21.590343048197237,28.180106775741056,36.461500954713365,79.99999999999997,50.351314783299145,33.88347736276247,95.3660184343014,57.1640636418202,79.99999999999997
1772016137.9815705,-11.458108038148689,21.2841169341367,29.73122138207588,36.23863797753197,79.99999999999996,51.28965096551177,34.33056024697574,85.70424806998308,54.59478643526872,79.99999999999996
1772016138.0423317,-10.006520239619183,20.932251963434368,30.706345593752946,35.75100229843318,79.99999999999996,51.92750327711464,34.554771146296375,85.70197017154982,53.7109480025487,79.99999999999996
1772016138.1052332,-9.110021212638442,20.597757328721066,31.111489025517642,35.00686458852709,79.99999999999997,52.063373677956754,34.62733051201188,90.09421923613863,54.417999435027255,79.99999999999997
1772016138.167232,-8.484499686261643,20.32138242335049,31.335132934965017,34.06962835941978,79.99999999999997,51.863831072593676,34.8045291345354,92.04990848364542,55.65975831467099,79.99999999999997
1772016138.2312834,-7.8115554300056,20.09760062395768,31.639587840805135,33.119143519258245,79.99999999999996,51.72902531492083,35.188080339029526,90.88339414177078,56.31128093580737,79.99999999999996
1772016138.2920375,-6.931650485706874,19.83686752804822,32.00416439382528,32.61067322365552,79.99999999999996,51.98298786334659,35.70089692039573,89.44366795325669,55.92236925499122,79.99999999999996
1772016138.3581922,-5.725022071530141,19.384827808714522,32.368232478638596,32.9638728856729,79.99999999999997,52.63990888872298,36.31310959930693,89.33583701570761,55.05168704702455,79.99999999999997
1772016138.42172,-4.126143646279134,18.652324358101346,32.776745993168426,33.91431287947377,79.99999999999997,53.37974589171024,37.10077061641062,89.95848886867094,55.029654416255006,79.99999999999997
1772016138.481393,-2.3200904308477925,17.729075983475212,33.21922503611407,34.45475613595321,79.99999999999996,53.74526566382046,38.0660170949343,90.29091572862339,57.029752244550934,79.99999999999996
1772016138.5433674,-0.6872866395776823,16.817885766860105,33.52716001266432,33.759142639833854,79.99999999999996,53.49460074004994,39.078413562952655,90.15118013113857,60.91442693514669,79.99999999999996
1772016138.6063452,0.6099403864879265,16.03221080715198,33.55998442933883,32.085111161969614,79.99999999999997,52.927968346245216,40.05987216100722,89.93284157304602,64.9274263898593,79.99999999999997
1772016138.6703799,1.9442232855778543,15.244018411531597,33.3997798217177,30.474868384920775,79.99999999999997,52.85305652988821,41.077386927796375,89.89906997619285,66.88016686866254,79.99999999999997
1772016138.7325084,4.011128938825602,14.138543595640622,33.2827076765606,29.61596770843591,79.99999999999996,53.9881415604994,42.17676284356648,89.98558428273782,65.99663431406812,79.99999999999996
1772016138.7958026,7.145978310941681,12.518228314445532,33.348789126250956,29.310293203403827,79.99999999999996,56.234125917222144,43.264818562238595,90.04053419768059,63.59204106600602,79.99999999999996
1772016138.8600526,10.754970690591096,10.645756443085094,33.44084577059127,29.09109326864667,79.99999999999997,58.67306073348018,44.258364491100686,90.02508925329637,61.761476120077624,79.99999999999997
1772016138.920186,13.55093063405472,9.208740974700438,33.147494741266755,28.994062831107087,79.99999999999997,60.46148364713583,45.22528825118775,89.99246629806214,61.45249235942877,79.99999999999997
1772016138.9824224,14.55503989596642,8.792368505397443,32.11878251146819,29.419536411171855,79.99999999999996,61.62444649828694,46.225897082281605,89.98488657242416,62.013027480708445,79.99999999999996
1772016139.0441713,13.885550220465,9.366989188923807,30.39679836257307,30.38099109259495,79.99999999999996,62.81218972273078,47.102242183211985,89.99666496883025,62.43045957873246,79.99999999999996
1772016139.1094668,12.505766516413738,10.360822533174968,28.426163130449282,31.285293285136785,79.99999999999997,64.41565272171933,47.6201944003918,90.00553661001338,62.48082208451456,79.99999999999997
1772016139.1714094,11.288777037976887,11.21195775080047,26.70627308533572,31.574639094871248,79.99999999999997,66.17958945309259,47.76999440618016,90.0040639563862,62.5503627906408,79.99999999999997
1772016139.2351735,10.445010946025691,11.767418527355659,25.421431488489326,31.3345686470948,79.99999999999996,67.64953517034571,47.72720255885092,89.99925959514424,62.789599975723334,79.99999999999996
1772016139.2957728,9.761648576415324,12.172717192636053,24.447010576229268,31.102865777452923,79.99999999999996,68.70828023793334,47.60154928597825,89.99776938132517,62.775509805774874,79.99999999999996
1772016139.359032,9.122264596729659,12.535100961470814,23.713520534181253,31.243793219225203,79.99999999999997,69.53929296456731,47.48318599600774,89.99933453285223,61.9445423008466,79.99999999999997
1772016139.4212854,8.625560805686144,12.817414653335756,23.427097101754235,31.692048965082932,79.99999999999997,70.25562059276754,47.64894533380871,90.00073865837165,60.26085908350214,79.99999999999997
1772016139.4841144,8.325736107136176,12.993225784356023,23.822689071786456,32.19558977536079,79.99999999999996,70.7956451228954,48.38382878238713,90.00064502487476,58.389935593482754,79.99999999999996
1772016139.5495627,8.113827699371965,13.132698152323425,24.79425238340134,32.55941737463051,79.99999999999996,71.13688543738687,49.57107319537397,89.99994781807526,57.085319410365514,79.99999999999996
1772016139.6095748,7.910324365065605,13.282768747545981,25.90188439841785,32.64814191961353,79.99999999999997,71.38839400250305,50.731542718110624,89.99967556375834,56.41415541324458,79.99999999999997
1772016139.67383,7.809667775909702,13.370452997364339,26.726619587031756,32.40767864694565,79.99999999999997,71.61982961632582,51.54521540812132,89.99987732537147,55.728127834562024,79.99999999999997
1772016139.739695,7.934968149541056,13.304257006828855,27.1610852906785,32.012986948630335,79.99999999999996,71.77976285174064,52.13141293479834,90.00009570664665,54.394151334638515,79.99999999999996
